team_a,team_b,result
Iran,North Korea,1
Qatar,Mali,1
Qatar,Mali,0
Syria,Zimbabwe,1
Yemen,Tajikistan,0
Angola,Gambia,1
Angola,Gambia,0
Egypt,Mali,1
Tanzania,Côte d'Ivoire,0
Ghana,Malawi,1
Ghana,Malawi,0
Bahrain,Hong Kong,1
Benin,Libya,1
China,Syria,1
China,Syria,0
Gabon,Mozambique,1
Indonesia,Oman,0
Kuwait,Australia,1
Kuwait,Australia,0
Lebanon,Vietnam,1
Lebanon,Vietnam,0
Singapore,Iran,0
Thailand,Jordan,1
Thailand,Jordan,0
United Arab Emirates,Malaysia,1
Yemen,Japan,0
Rwanda,Côte d'Ivoire,0
Kenya,Cameroon,0
Tunisia,Gambia,0
Zambia,Korea Republic,1
Angola,Mali,1
Angola,Mali,0
Côte d'Ivoire,Burkina Faso,1
Côte d'Ivoire,Burkina Faso,0
Malawi,Algeria,1
Egypt,Nigeria,1
Mozambique,Benin,1
Mozambique,Benin,0
Cameroon,Gabon,0
Zambia,Tunisia,1
Zambia,Tunisia,0
Angola,Malawi,1
Mali,Algeria,0
Côte d'Ivoire,Ghana,1
Yemen,Kenya,1
Egypt,Mozambique,1
Nigeria,Benin,1
Cameroon,Zambia,1
Gabon,Tunisia,1
Gabon,Tunisia,0
Thailand,Singapore,1
Vietnam,China,0
Angola,Algeria,1
Angola,Algeria,0
Finland,Korea Republic,0
Mali,Malawi,1
Burkina Faso,Ghana,0
Chile,Panama,1
Egypt,Benin,1
Nigeria,Mozambique,1
Oman,Sweden,0
Thailand,Poland,0
Yemen,Bahrain,1
Cameroon,Tunisia,1
Cameroon,Tunisia,0
Gabon,Zambia,0
Latvia,Korea Republic,0
Poland,Singapore,1
Syria,Sweden,1
Syria,Sweden,0
United States,Honduras,0
Angola,Ghana,0
Côte d'Ivoire,Algeria,0
Egypt,Cameroon,1
Zambia,Nigeria,1
Zambia,Nigeria,0
Argentina,Costa Rica,1
South Africa,Zimbabwe,1
Algeria,Egypt,0
Ghana,Nigeria,1
Nigeria,Algeria,1
Ghana,Egypt,0
Jamaica,Canada,1
Japan,Venezuela,1
Japan,Venezuela,0
Japan,China,1
Japan,China,0
Korea Republic,Hong Kong,1
Argentina,Jamaica,1
China,Korea Republic,1
Japan,Hong Kong,1
Hong Kong,China,0
Japan,Korea Republic,0
Sri Lanka,Myanmar,0
Tajikistan,Bangladesh,0
North Korea,Turkmenistan,1
North Korea,Turkmenistan,0
Bangladesh,Myanmar,0
Sri Lanka,Tajikistan,0
Kuwait,Syria,1
Kuwait,Syria,0
Kyrgyzstan,North Korea,0
Sri Lanka,Bangladesh,1
Tajikistan,Myanmar,1
Turkmenistan,Kyrgyzstan,1
North Korea,Myanmar,1
Mexico,Bolivia,1
Tajikistan,Turkmenistan,0
United States,El Salvador,1
Jordan,Azerbaijan,0
Kuwait,Bahrain,1
Turkmenistan,North Korea,1
Turkmenistan,North Korea,0
Malaysia,Yemen,1
Tajikistan,Myanmar,1
Guadeloupe,Saint Kitts and Nevis,1
Republic of Ireland,Brazil,0
Albania,Northern Ireland,1
Algeria,Serbia,0
Angola,Latvia,1
Angola,Latvia,0
Armenia,Belarus,0
Australia,Indonesia,1
Austria,Denmark,1
Belgium,Croatia,0
Bosnia and Herzegovina,Ghana,1
Cyprus,Iceland,1
Cyprus,Iceland,0
El Salvador,Guatemala,0
England,Egypt,1
France,Spain,0
Georgia,Estonia,1
Germany,Argentina,0
Greece,Senegal,0
Hong Kong,Yemen,1
Hong Kong,Yemen,0
Hungary,Russia,1
Hungary,Russia,0
Iran,Thailand,1
Italy,Cameroon,1
Italy,Cameroon,0
Côte d'Ivoire,Korea Republic,0
Japan,Bahrain,1
Jordan,Singapore,1
Kazakhstan,Moldova,0
Libya,Mali,1
Luxembourg,Azerbaijan,0
North Macedonia,Montenegro,1
Malta,Finland,0
Mexico,New Zealand,1
Mozambique,Botswana,0
Netherlands,United States,1
Nigeria,DR Congo,1
Oman,Kuwait,1
Oman,Kuwait,0
Poland,Bulgaria,1
Portugal,China,1
Romania,Israel,0
Scotland,Czechia,1
Slovakia,Norway,0
Slovenia,Qatar,1
South Africa,Namibia,1
South Africa,Namibia,0
Switzerland,Uruguay,0
Syria,Lebanon,1
Tanzania,Uganda,0
Turkey,Honduras,1
Uzbekistan,United Arab Emirates,0
Venezuela,Panama,0
Wales,Sweden,0
Zimbabwe,Malawi,1
Venezuela,North Korea,1
Niger,Benin,1
Padania,Provence,0
Mexico,North Korea,1
Alderney,Jersey,0
Iceland,Faroe Islands,1
Namibia,Botswana,1
Namibia,Botswana,0
Martinique,Haiti,1
Martinique,Haiti,0
Mexico,Iceland,1
Mexico,Iceland,0
Chile,Venezuela,1
Chile,Venezuela,0
Paraguay,South Africa,1
Paraguay,South Africa,0
Saint Kitts and Nevis,Guadeloupe,1
Occitania,Monaco,1
Japan,Serbia,0
Honduras,Venezuela,0
South Africa,North Korea,1
South Africa,North Korea,0
South Africa,Jamaica,1
Argentina,Haiti,1
Chile,Trinidad and Tobago,1
Mexico,Ecuador,1
Mexico,Ecuador,0
Jersey,Guernsey,0
Mexico,Senegal,1
Yemen,Malawi,1
Germany,Malta,1
Mexico,Angola,1
Paraguay,North Korea,1
Korea Republic,Ecuador,1
Mexico,Chile,1
South Africa,Thailand,1
Yemen,Oman,0
Austria,Croatia,0
Belgium,Bulgaria,1
Gabon,Togo,1
Corsica,Brittany,1
Aruba,Venezuela,0
DR Congo,Saudi Arabia,0
Estonia,Finland,1
Brittany,Togo,1
Corsica,Gabon,1
Corsica,Gabon,0
Turkey,Czechia,1
Croatia,Wales,1
Argentina,Canada,1
Australia,New Zealand,1
England,Mexico,1
Japan,Korea Republic,0
Portugal,Cabo Verde,1
Portugal,Cabo Verde,0
South Africa,Bulgaria,1
South Africa,Bulgaria,0
Armenia,Uzbekistan,1
Georgia,Cameroon,1
Georgia,Cameroon,0
Greece,North Korea,1
Greece,North Korea,0
Republic of Ireland,Paraguay,1
Montenegro,Albania,0
Nigeria,Saudi Arabia,1
Nigeria,Saudi Arabia,0
Ukraine,Lithuania,1
United States,Czechia,0
Azerbaijan,Moldova,1
Azerbaijan,Moldova,0
Chile,Zambia,1
Estonia,Croatia,1
Estonia,Croatia,0
France,Costa Rica,1
Netherlands,Mexico,1
Northern Ireland,Turkey,0
Uruguay,Israel,1
Belarus,Honduras,1
Belarus,Honduras,0
Denmark,Senegal,1
South Africa,Colombia,1
Republic of Ireland,Algeria,1
Azerbaijan,North Macedonia,0
Hungary,Germany,0
Iceland,Andorra,1
Moldova,United Arab Emirates,0
New Zealand,Serbia,1
Norway,Montenegro,1
Poland,Finland,1
Poland,Finland,0
Slovakia,Cameroon,1
Slovakia,Cameroon,0
Spain,Saudi Arabia,1
Sweden,Bosnia and Herzegovina,1
Ukraine,Romania,1
United States,Turkey,1
