national_team,championship_count,championship_probability
Brazil,1086,0.1086
Argentina,820,0.082
Spain,698,0.0698
Germany,620,0.062
France,612,0.0612
England,503,0.0503
Netherlands,461,0.0461
Portugal,457,0.0457
Belgium,442,0.0442
Colombia,412,0.0412
Italy,324,0.0324
Uruguay,309,0.0309
Croatia,253,0.0253
Chile,208,0.0208
Mexico,208,0.0208
Ecuador,202,0.0202
Switzerland,200,0.02
Denmark,172,0.0172
Ukraine,164,0.0164
United States,162,0.0162
Japan,162,0.0162
Iran,146,0.0146
Peru,115,0.0115
Austria,114,0.0114
Sweden,113,0.0113
Turkey,110,0.011
Serbia,92,0.0092
Algeria,86,0.0086
Morocco,84,0.0084
Poland,81,0.0081
Senegal,77,0.0077
Australia,73,0.0073
Scotland,61,0.0061
Egypt,49,0.0049
Nigeria,46,0.0046
Tunisia,41,0.0041
South Africa,34,0.0034
Cameroon,31,0.0031
Costa Rica,30,0.003
Panama,28,0.0028
Uzbekistan,26,0.0026
Iraq,24,0.0024
Canada,18,0.0018
Ghana,16,0.0016
Jamaica,12,0.0012
Qatar,8,0.0008
Saudi Arabia,7,0.0007
South Korea,3,0.0003
